sexo,estado_civil,grupo_depend,x_nem,leng,mate,cien,beca,edad,jefe_familia,nem,educpadre,educmadre
Masculino,Soltero,Particular Pagado (Dependencia 4),62,685,702,704,0,19,Padre de postulante,6.1999998,7,14
Femenino,Soltero,Particular Subvencionado (Dependencia 3),53,568,518,392,0,19,Padre de postulante,5.3000002,14,13
Femenino,Soltero,Particular Pagado (Dependencia 4),59,628,596,527,0,19,Padre de postulante,5.9000001,14,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),56,389,351,289,0,19,Padre de postulante,5.5999999,4,4
Femenino,Soltero,Particular Subvencionado (Dependencia 3),63,628,589,590,0,19,Padre de postulante,6.3000002,11,11
Masculino,Soltero,Particular Pagado (Dependencia 4),65,725,691,663,0,19,Madre del postulante,6.5,14,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),54,589,561,507,0,19,Padre de postulante,5.4000001,5,14
Femenino,Soltero,Particular Subvencionado (Dependencia 3),55,501,529,542,0,19,Padre de postulante,5.5,3,2
Femenino,Soltero,Particular Subvencionado (Dependencia 3),48,413,327,461,0,18,Padre de postulante,4.8000002,5,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),64,628,644,619,1,19,Padre de postulante,6.4000001,5,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),57,527,606,507,0,19,Padre de postulante,5.6999998,5,14
Femenino,Soltero,Particular Subvencionado (Dependencia 3),52,433,469,371,0,19,Padre de postulante,5.1999998,2,2
Masculino,Soltero,Particular Pagado (Dependencia 4),61,488,668,552,0,19,Padre de postulante,6.0999999,14,11
Femenino,Soltero,Particular Subvencionado (Dependencia 3),57,494,543,499,0,19,Madre del postulante,5.6999998,5,5
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",65,605,644,583,1,18,Madre del postulante,6.5,14,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),59,583,606,492,0,18,Padre de postulante,5.9000001,5,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),59,600,630,593,0,19,Padre de postulante,5.9000001,5,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),63,662,691,688,1,19,Padre de postulante,6.3000002,5,3
Masculino,Soltero,Particular Pagado (Dependencia 4),58,715,696,598,0,19,Madre del postulante,5.8000002,14,14
Femenino,Soltero,Particular Subvencionado (Dependencia 3),57,594,535,431,0,19,Madre del postulante,5.6999998,7,6
Masculino,Soltero,Particular Subvencionado (Dependencia 3),56,647,644,499,0,19,Padre de postulante,5.5999999,5,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),54,506,565,499,0,19,Madre del postulante,5.4000001,5,4
Femenino,Soltero,Particular Subvencionado (Dependencia 3),61,558,565,532,1,18,Padre de postulante,6.0999999,5,5
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",52,448,543,473,0,19,Madre del postulante,5.1999998,14,13
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",65,494,565,319,0,18,Padre de postulante,6.5,5,5
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",63,563,493,492,0,19,Padre de postulante,6.3000002,4,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),58,427,617,552,0,19,Padre de postulante,5.8000002,3,5
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",63,501,485,371,0,19,Padre de postulante,6.3000002,5,12
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",59,453,469,414,0,18,Padre de postulante,5.9000001,13,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),57,579,485,507,0,19,Madre del postulante,5.6999998,14,13
Femenino,Soltero,Particular Subvencionado (Dependencia 3),56,527,518,499,0,19,Madre del postulante,5.5999999,2,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),60,662,606,561,0,18,Padre de postulante,6,4,7
Masculino,Soltero,Particular Subvencionado (Dependencia 3),57,472,524,461,0,19,Abuelo(a),5.6999998,3,5
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",59,510,557,473,0,18,Madre del postulante,5.9000001,5,5
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",62,558,617,564,0,18,Padre de postulante,6.1999998,5,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),57,494,459,448,0,18,Padre de postulante,5.6999998,3,3
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",58,548,543,499,0,19,Madre del postulante,5.8000002,2,2
Femenino,Soltero,Particular Subvencionado (Dependencia 3),54,382,493,448,0,19,Padre de postulante,5.4000001,11,5
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",50,477,493,431,0,19,Padre de postulante,5,12,11
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",51,433,477,461,0,19,Padre de postulante,5.0999999,4,3
Masculino,Separado,Particular Subvencionado (Dependencia 3),60,510,548,532,0,19,Madre del postulante,6,14,7
Masculino,Soltero,Particular Pagado (Dependencia 4),59,747,708,684,0,19,Otra persona,5.9000001,5,2
Masculino,Soltero,Particular Pagado (Dependencia 4),61,579,702,637,0,19,Padre de postulante,6.0999999,14,14
Masculino,Soltero,Particular Subvencionado (Dependencia 3),62,670,696,637,1,19,Padre de postulante,6.1999998,11,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),57,483,459,431,0,19,Padre de postulante,5.6999998,3,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),58,589,644,538,0,19,Madre del postulante,5.8000002,5,14
Masculino,Soltero,Particular Subvencionado (Dependencia 3),53,583,548,557,0,19,Madre del postulante,5.3000002,5,4
Femenino,Soltero,Particular Subvencionado (Dependencia 3),52,389,214,448,0,18,Padre de postulante,5.1999998,2,4
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",51,537,493,414,0,20,Abuelo(a),5.0999999,5,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),57,579,548,473,0,19,Padre de postulante,5.6999998,5,11
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",56,506,485,319,0,19,Padre de postulante,5.5999999,4,4
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",56,583,584,448,0,19,Padre de postulante,5.5999999,4,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),53,494,448,461,0,18,Madre del postulante,5.3000002,3,5
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",53,382,351,319,0,18,Padre de postulante,5.3000002,2,2
Masculino,Soltero,Particular Subvencionado (Dependencia 3),58,537,644,608,0,18,Madre del postulante,5.8000002,14,14
Femenino,Soltero,Particular Pagado (Dependencia 4),60,579,592,608,0,19,Padre de postulante,6,14,14
Femenino,Soltero,Particular Pagado (Dependencia 4),60,548,609,614,0,19,Padre de postulante,6,5,4
Masculino,Soltero,Particular Subvencionado (Dependencia 3),53,333,477,499,0,18,Padre de postulante,5.3000002,5,4
Masculino,Soltero,Particular Subvencionado (Dependencia 3),64,622,485,642,0,19,Padre de postulante,6.4000001,5,4
Masculino,Soltero,Particular Subvencionado (Dependencia 3),58,641,584,596,0,19,Padre de postulante,5.8000002,11,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),53,420,529,499,0,18,Padre de postulante,5.3000002,14,14
Masculino,Soltero,Particular Pagado (Dependencia 4),59,573,644,575,0,19,Madre del postulante,5.9000001,3,3
Masculino,Soltero,Particular Subvencionado (Dependencia 3),55,382,422,392,0,20,Madre del postulante,5.5,5,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),58,510,573,431,0,19,Padre de postulante,5.8000002,4,2
Femenino,Soltero,Particular Subvencionado (Dependencia 3),56,589,518,538,0,19,Madre del postulante,5.5999999,5,13
Femenino,Soltero,Particular Subvencionado (Dependencia 3),51,353,422,414,0,18,Padre de postulante,5.0999999,5,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),55,472,469,483,0,19,Padre de postulante,5.5,2,3
Masculino,Soltero,Particular Subvencionado (Dependencia 3),54,448,524,431,0,18,Padre de postulante,5.4000001,4,5
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",58,420,448,483,0,19,Madre del postulante,5.8000002,5,4
Masculino,Soltero,Particular Pagado (Dependencia 4),49,552,592,514,0,19,Padre de postulante,4.9000001,14,7
Femenino,Soltero,Particular Subvencionado (Dependencia 3),57,563,606,579,0,19,Padre de postulante,5.6999998,7,4
Femenino,Soltero,Particular Subvencionado (Dependencia 3),63,531,552,431,1,19,Padre de postulante,6.3000002,5,3
Masculino,Soltero,Particular Subvencionado (Dependencia 3),51,397,372,272,0,19,Abuelo(a),5.0999999,5,4
Masculino,Soltero,Particular Subvencionado (Dependencia 3),51,353,372,448,0,18,Padre de postulante,5.0999999,5,5
Femenino,Soltero,Particular Pagado (Dependencia 4),58,641,613,642,0,19,Padre de postulante,5.8000002,14,14
Femenino,Soltero,Particular Pagado (Dependencia 4),65,628,681,704,0,19,Padre de postulante,6.5,14,14
Masculino,Soltero,Particular Subvencionado (Dependencia 3),52,477,561,561,0,18,Padre de postulante,5.1999998,5,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),65,678,681,667,1,19,Padre de postulante,6.5,14,7
Femenino,Soltero,Particular Subvencionado (Dependencia 3),57,552,543,575,0,19,Abuelo(a),5.6999998,4,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),57,573,548,538,0,19,Madre del postulante,5.6999998,4,5
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",51,516,459,473,0,19,Padre de postulante,5.0999999,5,4
Femenino,Soltero,Particular Subvencionado (Dependencia 3),50,558,600,520,0,19,Madre del postulante,5,5,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),53,583,506,492,0,19,Padre de postulante,5.3000002,7,4
Femenino,Soltero,Particular Subvencionado (Dependencia 3),56,558,548,527,0,19,Padre de postulante,5.5999999,5,11
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",46,310,477,289,0,19,Padre de postulante,4.5999999,2,4
Masculino,Soltero,Particular Subvencionado (Dependencia 3),67,762,685,695,1,19,Madre del postulante,6.6999998,5,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),68,736,785,700,0,19,Padre de postulante,6.8000002,14,14
Femenino,Soltero,Particular Subvencionado (Dependencia 3),50,465,477,431,0,19,Padre de postulante,5,14,12
Femenino,Soltero,Particular Subvencionado (Dependencia 3),59,433,422,392,0,18,Padre de postulante,5.9000001,6,6
Masculino,Soltero,Particular Subvencionado (Dependencia 3),53,521,529,514,0,19,Padre de postulante,5.3000002,3,4
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",53,552,561,520,0,18,Madre del postulante,5.3000002,13,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),56,558,499,431,0,18,Padre de postulante,5.5999999,13,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),62,635,644,611,0,19,Padre de postulante,6.1999998,5,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),65,605,569,568,1,19,Padre de postulante,6.5,5,5
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",66,622,637,661,1,19,Padre de postulante,6.5999999,14,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),59,298,301,392,0,19,Padre de postulante,5.9000001,5,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),50,483,477,461,0,19,Padre de postulante,5,5,5
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",57,537,448,499,0,19,Madre del postulante,5.6999998,5,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),53,373,506,347,0,20,Padre de postulante,5.3000002,14,7
Femenino,Soltero,Particular Subvencionado (Dependencia 3),51,263,327,347,0,18,Padre de postulante,5.0999999,5,4
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",63,440,552,272,0,19,Padre de postulante,6.3000002,2,2
Masculino,Soltero,Particular Subvencionado (Dependencia 3),59,510,581,548,0,19,Padre de postulante,5.9000001,5,5
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",54,270,223,225,0,19,Padre de postulante,5.4000001,2,3
Femenino,Soltero,Particular Subvencionado (Dependencia 3),61,558,529,448,0,19,Madre del postulante,6.0999999,2,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),55,531,565,527,0,19,Madre del postulante,5.5,3,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),54,501,539,483,0,19,Padre de postulante,5.4000001,5,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),51,516,576,499,0,18,Madre del postulante,5.0999999,5,11
Masculino,Soltero,Particular Subvencionado (Dependencia 3),54,531,459,448,0,19,Madre del postulante,5.4000001,7,14
Masculino,Soltero,Particular Subvencionado (Dependencia 3),61,594,548,561,0,19,Padre de postulante,6.0999999,14,13
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",53,405,422,319,0,19,Padre de postulante,5.3000002,12,11
Femenino,Soltero,Particular Pagado (Dependencia 4),57,605,565,590,0,19,Padre de postulante,5.6999998,11,11
Femenino,Soltero,Particular Pagado (Dependencia 4),59,542,543,507,0,18,Padre de postulante,5.9000001,14,11
Femenino,Soltero,Particular Subvencionado (Dependencia 3),57,542,543,520,0,18,Padre de postulante,5.6999998,5,4
Masculino,Soltero,Particular Subvencionado (Dependencia 3),50,433,448,473,0,19,Padre de postulante,5,5,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),61,628,677,611,0,19,Padre de postulante,6.0999999,5,5
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",55,373,391,448,0,19,Padre de postulante,5.5,5,4
Masculino,Soltero,Particular Subvencionado (Dependencia 3),56,537,552,520,0,19,Padre de postulante,5.5999999,4,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),58,579,617,623,0,19,Padre de postulante,5.8000002,14,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),61,488,351,371,1,19,Padre de postulante,6.0999999,2,2
Femenino,Soltero,Particular Subvencionado (Dependencia 3),60,655,617,614,0,18,Padre de postulante,6,7,5
Masculino,Soltero,Particular Pagado (Dependencia 4),54,448,539,448,0,20,Padre de postulante,5.4000001,6,7
Masculino,Soltero,Particular Subvencionado (Dependencia 3),62,531,518,492,1,18,Madre del postulante,6.1999998,5,4
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",51,448,499,461,0,19,Madre del postulante,5.0999999,4,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),66,747,785,749,1,19,Abuelo(a),6.5999999,5,7
Masculino,Soltero,Particular Subvencionado (Dependencia 3),68,655,672,640,1,19,Padre de postulante,6.8000002,5,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),62,600,656,723,0,19,Padre de postulante,6.1999998,11,12
Femenino,Soltero,Particular Subvencionado (Dependencia 3),57,465,448,492,0,19,Madre del postulante,5.6999998,4,5
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",59,579,561,461,0,19,Madre del postulante,5.9000001,5,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),54,501,518,514,0,19,Abuelo(a),5.4000001,5,14
Femenino,Soltero,Particular Subvencionado (Dependencia 3),59,494,518,548,0,19,Otra persona,5.9000001,5,5
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",48,506,422,319,0,19,Padre de postulante,4.8000002,4,4
Femenino,Soltero,Particular Subvencionado (Dependencia 3),57,579,513,483,0,18,Padre de postulante,5.6999998,14,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),61,488,552,414,1,18,Padre de postulante,6.0999999,5,5
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",56,568,499,538,0,19,Padre de postulante,5.5999999,3,4
Masculino,Soltero,Particular Subvencionado (Dependencia 3),51,448,459,448,0,18,Madre del postulante,5.0999999,5,14
Femenino,Soltero,Particular Subvencionado (Dependencia 3),53,373,351,347,0,19,Padre de postulante,5.3000002,14,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),62,573,644,602,0,19,Padre de postulante,6.1999998,5,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),56,488,391,347,0,19,Padre de postulante,5.5999999,13,13
Masculino,Soltero,Particular Subvencionado (Dependencia 3),56,527,672,557,0,18,Hermano(a),5.5999999,5,14
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",52,448,448,347,0,19,Padre de postulante,5.1999998,5,4
Femenino,Soltero,Particular Subvencionado (Dependencia 3),60,628,589,561,0,18,Padre de postulante,6,5,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),50,343,408,492,0,20,Padre de postulante,5,4,3
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",51,440,535,347,0,18,Padre de postulante,5.0999999,5,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),53,488,499,431,0,19,Madre del postulante,5.3000002,4,5
Femenino,Soltero,Particular Pagado (Dependencia 4),60,583,696,642,0,19,Padre de postulante,6,14,14
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",59,413,459,431,0,19,Madre del postulante,5.9000001,5,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),50,353,351,392,0,19,Madre del postulante,5,1,14
Femenino,Soltero,Particular Subvencionado (Dependencia 3),57,589,603,520,0,19,Padre de postulante,5.6999998,4,6
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",61,662,493,520,0,19,Padre de postulante,6.0999999,5,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),60,685,606,598,0,18,Madre del postulante,6,11,14
Masculino,Soltero,Particular Pagado (Dependencia 4),59,635,677,605,0,19,Padre de postulante,5.9000001,14,13
Masculino,Soltero,Particular Subvencionado (Dependencia 3),52,420,469,431,0,19,Madre del postulante,5.1999998,5,14
Masculino,Soltero,Particular Pagado (Dependencia 4),68,685,722,713,0,19,Madre del postulante,6.8000002,14,14
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",53,506,506,448,0,19,Madre del postulante,5.3000002,5,3
Femenino,Soltero,Particular Subvencionado (Dependencia 3),54,353,459,431,0,19,Padre de postulante,5.4000001,2,3
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",59,506,539,392,0,18,Padre de postulante,5.9000001,5,14
Masculino,Soltero,Particular Pagado (Dependencia 4),58,583,606,532,0,19,Padre de postulante,5.8000002,11,5
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",61,527,524,461,1,19,Madre del postulante,6.0999999,5,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),55,343,372,414,0,19,Padre de postulante,5.5,5,2
Masculino,Soltero,Particular Subvencionado (Dependencia 3),62,635,746,640,0,19,Padre de postulante,6.1999998,14,6
Masculino,Soltero,Particular Subvencionado (Dependencia 3),54,641,589,634,0,19,Padre de postulante,5.4000001,14,7
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",51,552,485,538,0,19,Padre de postulante,5.0999999,13,13
Femenino,Soltero,Particular Pagado (Dependencia 4),53,548,581,431,0,18,Padre de postulante,5.3000002,14,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),57,506,529,527,0,19,Padre de postulante,5.6999998,4,2
Masculino,Soltero,Particular Subvencionado (Dependencia 3),61,685,617,557,0,19,Padre de postulante,6.0999999,14,13
Masculino,Soltero,Particular Subvencionado (Dependencia 3),55,453,485,347,0,19,Padre de postulante,5.5,5,5
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",52,373,372,289,0,19,Madre del postulante,5.1999998,5,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),48,448,518,371,0,19,Padre de postulante,4.8000002,5,5
Masculino,Soltero,Particular Pagado (Dependencia 4),64,477,535,414,0,20,Padre de postulante,6.4000001,11,11
Masculino,Soltero,Particular Subvencionado (Dependencia 3),59,583,573,583,0,18,Padre de postulante,5.9000001,7,7
Masculino,Soltero,Particular Subvencionado (Dependencia 3),62,647,644,651,0,19,Padre de postulante,6.1999998,13,6
Femenino,Soltero,Particular Subvencionado (Dependencia 3),60,647,624,646,0,19,Padre de postulante,6,14,11
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",59,494,499,473,1,18,Madre del postulante,5.9000001,5,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),54,548,609,514,0,19,Padre de postulante,5.4000001,14,14
Femenino,Soltero,Particular Subvencionado (Dependencia 3),61,494,485,461,0,19,Padre de postulante,6.0999999,5,4
Masculino,Soltero,Particular Subvencionado (Dependencia 3),56,510,609,499,0,19,Padre de postulante,5.5999999,5,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),56,363,391,392,0,19,Padre de postulante,5.5999999,2,3
Femenino,Soltero,Particular Pagado (Dependencia 4),60,616,640,663,0,19,Madre del postulante,6,14,14
Masculino,Soltero,Particular Pagado (Dependencia 4),65,780,818,670,0,19,Padre de postulante,6.5,14,14
Masculino,Soltero,Particular Subvencionado (Dependencia 3),55,510,561,514,0,19,Padre de postulante,5.5,11,4
Masculino,Soltero,Particular Subvencionado (Dependencia 3),51,583,613,520,0,19,Padre de postulante,5.0999999,14,14
Femenino,Soltero,Particular Subvencionado (Dependencia 3),53,389,351,272,0,18,Madre del postulante,5.3000002,7,7
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",61,579,518,483,0,18,Madre del postulante,6.0999999,7,5
Masculino,Soltero,Particular Pagado (Dependencia 4),65,647,729,700,0,19,Padre de postulante,6.5,14,7
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",48,373,372,431,0,20,Hermano(a),4.8000002,5,4
Masculino,Soltero,Particular Pagado (Dependencia 4),59,747,640,631,0,19,Padre de postulante,5.9000001,14,11
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",55,448,436,414,0,19,Padre de postulante,5.5,7,7
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",68,824,769,762,0,19,Padre de postulante,6.8000002,13,7
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",58,373,422,473,0,18,Madre del postulante,5.8000002,5,6
Masculino,Soltero,Particular Subvencionado (Dependencia 3),49,420,436,347,0,19,Padre de postulante,4.9000001,5,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),60,521,524,527,0,19,Padre de postulante,6,5,5
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",49,397,422,371,0,19,Padre de postulante,4.9000001,2,4
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",59,453,391,448,0,19,Padre de postulante,5.9000001,3,3
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",62,605,565,623,0,18,Madre del postulante,6.1999998,5,5
Masculino,Soltero,Particular Pagado (Dependencia 4),58,433,668,593,0,18,Padre de postulante,5.8000002,5,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),51,373,372,414,0,19,Padre de postulante,5.0999999,3,5
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",57,472,499,272,0,19,Padre de postulante,5.6999998,4,5
Femenino,Soltero,Particular Pagado (Dependencia 4),59,579,584,684,0,19,Padre de postulante,5.9000001,6,6
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",54,472,499,473,0,18,Madre del postulante,5.4000001,2,2
Masculino,Soltero,Particular Subvencionado (Dependencia 3),58,527,524,520,0,19,Padre de postulante,5.8000002,7,4
Femenino,Soltero,Particular Subvencionado (Dependencia 3),65,647,581,626,1,19,Padre de postulante,6.5,5,5
Femenino,Soltero,Particular Pagado (Dependencia 4),57,568,592,590,0,19,Madre del postulante,5.6999998,11,11
Femenino,Soltero,Particular Subvencionado (Dependencia 3),55,670,613,602,0,19,Padre de postulante,5.5,14,5
Masculino,Soltero,Particular Pagado (Dependencia 4),56,605,668,596,0,19,Padre de postulante,5.5999999,3,4
Masculino,Soltero,Particular Subvencionado (Dependencia 3),57,552,573,552,0,18,Padre de postulante,5.6999998,5,4
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",55,465,518,319,0,19,Hermano(a),5.5,3,7
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",54,420,524,483,0,19,Otro familiar del postulante,5.4000001,2,3
Femenino,Soltero,Particular Subvencionado (Dependencia 3),56,589,506,499,0,18,Padre de postulante,5.5999999,7,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),57,488,391,483,0,18,Padre de postulante,5.6999998,5,5
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",50,477,327,499,0,19,Madre del postulante,5,4,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),65,573,659,688,1,19,Madre del postulante,6.5,5,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),57,527,548,605,0,19,Madre del postulante,5.6999998,11,5
Femenino,Soltero,"Municipal (Dependencia 1, 2, 5)",67,678,715,749,1,19,Otra persona,6.6999998,4,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),52,472,493,347,0,19,Padre de postulante,5.1999998,3,4
Masculino,Soltero,Particular Subvencionado (Dependencia 3),62,579,648,646,0,19,Abuelo(a),6.1999998,14,14
Femenino,Soltero,Particular Subvencionado (Dependencia 3),59,448,485,371,0,19,Madre del postulante,5.9000001,2,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),56,516,552,461,0,19,Padre de postulante,5.5999999,3,3
Masculino,Soltero,Particular Subvencionado (Dependencia 3),58,537,613,520,0,19,Padre de postulante,5.8000002,7,7
Femenino,Soltero,Particular Subvencionado (Dependencia 3),50,397,391,392,0,19,Padre de postulante,5,5,5
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",59,382,557,561,0,19,Padre de postulante,5.9000001,5,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),56,542,603,598,0,19,Padre de postulante,5.5999999,5,7
Femenino,Soltero,Particular Subvencionado (Dependencia 3),56,460,372,499,0,18,Padre de postulante,5.5999999,5,4
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",53,506,518,431,0,18,Madre del postulante,5.3000002,4,5
Masculino,Soltero,Particular Pagado (Dependencia 4),56,715,659,663,0,19,Madre del postulante,5.5999999,14,14
Femenino,Soltero,Particular Subvencionado (Dependencia 3),54,527,459,520,0,19,Madre del postulante,5.4000001,12,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),59,583,518,448,0,19,Padre de postulante,5.9000001,5,5
Masculino,Soltero,Particular Subvencionado (Dependencia 3),65,694,785,708,0,19,Padre de postulante,6.5,5,7
Masculino,Soltero,Particular Pagado (Dependencia 4),49,413,529,431,0,20,Padre de postulante,4.9000001,14,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),60,589,596,572,1,19,Padre de postulante,6,5,5
Femenino,Soltero,Particular Subvencionado (Dependencia 3),64,685,691,692,1,19,Madre del postulante,6.4000001,5,7
Femenino,Soltero,Particular Subvencionado (Dependencia 3),57,527,609,605,0,19,Padre de postulante,5.6999998,7,11
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",61,433,493,492,0,19,Padre de postulante,6.0999999,3,3
Masculino,Soltero,Particular Subvencionado (Dependencia 3),57,521,584,527,0,18,Padre de postulante,5.6999998,11,14
Masculino,Soltero,Particular Subvencionado (Dependencia 3),49,420,422,319,0,19,Padre de postulante,4.9000001,2,2
Femenino,Soltero,Particular Subvencionado (Dependencia 3),54,433,408,431,0,19,Padre de postulante,5.4000001,3,3
Masculino,Soltero,Particular Subvencionado (Dependencia 3),52,494,573,347,0,19,Padre de postulante,5.1999998,11,11
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",54,427,459,414,0,18,Padre de postulante,5.4000001,2,2
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",62,563,581,461,1,19,Abuelo(a),6.1999998,5,14
Masculino,Soltero,"Municipal (Dependencia 1, 2, 5)",65,655,746,749,1,18,Padre de postulante,6.5,5,4
Femenino,Soltero,Particular Pagado (Dependencia 4),64,771,659,681,0,19,Padre de postulante,6.4000001,5,11
